# date_created : 2023-03-21
# location : Sidling spring
# wavelength_unit : nm
# emission_unit : ph s-1 m-2 um-1 arcsec-2
# action : transmission
#
# Details : http://www.gemini.edu/sciops/ObsProcess/obsConstraints/atm-models/trans_30_10.dat
#
wavelength transmission emission
1000 0.970486 0.1
1170 0.970486 0.1
1171 0.971351 0.1
1172 0.974734 0.1
1173 0.968874 0.1
1174 0.926160 0.1
1175 0.970293 0.1
1176 0.985673 0.1
1177 0.976347 0.1
1178 0.939704 0.1
1179 0.977988 0.1
1180 0.970498 0.1
1181 0.973231 0.1
1182 0.901812 0.1
1183 0.978940 0.1
1184 0.963308 0.1
1185 0.948056 0.1
1186 0.985875 0.1
1187 0.971953 0.1
1188 0.927766 0.1
1189 0.966158 0.1
1190 0.981310 0.1
1191 0.976528 0.1
1192 0.985150 0.1
1193 0.980573 0.1
1194 0.980815 0.1
1195 0.979645 0.1
1196 0.978874 0.1
1197 0.983552 0.1
1198 0.976686 0.1
1199 0.953592 0.1
1200 0.979289 0.1
1201 0.973854 0.1
1202 0.969460 0.1
1203 0.974242 0.1
1204 0.931655 0.1
1205 0.966940 0.1
1206 0.988763 0.1
1207 0.975657 0.1
1208 0.974888 0.1
1209 0.974079 0.1
1210 0.980829 0.1
1211 0.979813 0.1
1212 0.975829 0.1
1213 0.989676 0.1
1214 0.981482 0.1
1215 0.979185 0.1
1216 0.991672 0.1
1217 0.988118 0.1
1218 0.990045 0.1
1219 0.985249 0.1
1220 0.988808 0.1
1221 0.991927 0.1
1222 0.984916 0.1
1223 0.987930 0.1
1224 0.989341 0.1
1225 0.993683 0.1
1226 0.994528 0.1
1227 0.988305 0.1
1228 0.996353 0.1
1229 0.996037 0.1
1230 0.996146 0.1
1231 0.998798 0.1
1232 0.998610 0.1
1233 0.996024 0.1
1234 0.998865 0.1
1235 0.999224 0.1
1236 0.999391 0.1
1237 0.998798 0.1
1238 0.999618 0.1
1239 0.999781 0.1
1240 0.999797 0.1
1241 0.999350 0.1
1242 0.999924 0.1
1243 0.999987 0.1
1244 0.999773 0.1
1245 0.999856 0.1
1246 0.999900 0.1
1247 0.999769 0.1
1248 0.999199 0.1
1249 0.999458 0.1
1250 0.999102 0.1
1251 0.997745 0.1
1252 0.998450 0.1
1253 0.997153 0.1
1254 0.994379 0.1
1255 0.997322 0.1
1256 0.992223 0.1
1257 0.993291 0.1
1258 0.994142 0.1
1259 0.984481 0.1
1260 0.987911 0.1
1261 0.96995 0.1
1262 0.964341 0.1
1263 0.952896 0.1
1264 0.940197 0.1
1265 0.945140 0.1
1266 0.935879 0.1
1267 0.956846 0.1
1268 0.920530 0.1
1269 0.807267 0.1
1270 0.948279 0.1
1271 0.972691 0.1
1272 0.970527 0.1
1273 0.970524 0.1
1274 0.971955 0.1
1275 0.976771 0.1
1276 0.979863 0.1
1277 0.984974 0.1
1278 0.989417 0.1
1279 0.992390 0.1
1280 0.992737 0.1
1281 0.994972 0.1
1282 0.996923 0.1
1283 0.997479 0.1
1284 0.997360 0.1
1285 0.997514 0.1
1286 0.998899 0.1
1287 0.997433 0.1
1288 0.997244 0.1
1289 0.993903 0.1
1290 0.997936 0.1
1291 0.997258 0.1
1292 0.991921 0.1
1293 0.997260 0.1
1294 0.996804 0.1
1295 0.995199 0.1
1296 0.991817 0.1
1297 0.987373 0.1
1298 0.991971 0.1
1299 0.994008 0.1
1300 0.982165 0.1
1301 0.980889 0.1
1302 0.993541 0.1
1303 0.976738 0.1
1304 0.955407 0.1
1305 0.985006 0.1
1306 0.982626 0.1
1307 0.960899 0.1
1308 0.967194 0.1
1309 0.981421 0.1
1310 0.941234 0.1
1311 0.971694 0.1
1312 0.974471 0.1
1313 0.949271 0.1
1314 0.930720 0.1
1315 0.953239 0.1
1316 0.969497 0.1
1317 0.947109 0.1
1318 0.963793 0.1
1319 0.936239 0.1
1320 0.906022 0.1
1321 0.942001 0.1
1322 0.947142 0.1
1323 0.912910 0.1
1324 0.931362 0.1
1325 0.958899 0.1
1326 0.949633 0.1
1327 0.927565 0.1
1328 0.902933 0.1
1329 0.860352 0.1
1330 0.910738 0.1
1500 0.910738 0.1
